line_number,Category_Std,Category_Alt,Category_Cor,Genus,Species names
628,CR,CR,N,Thamnodynastes,Thamnodynastes marahuaquensis
156,CR,CR,N,Thamnodynastes,Thamnodynastes nattereri
153,CR,CR,N,Thamnodynastes,Thamnodynastes pallidus
629,CR,CR,N,Thamnodynastes,Thamnodynastes paraguanae
630,CR,CR,N,Thamnodynastes,Thamnodynastes ramonriveroi
155,CR,CR,N,Thamnodynastes,Thamnodynastes rutilus
631,CR,CR,N,Thamnodynastes,Thamnodynastes sertanejo
154,CR,CR,N,Thamnodynastes,Thamnodynastes strigatus
632,CR,CR,N,Thamnodynastes,Thamnodynastes yavi
633,VIP,VIP,N,Thermophis,Thermophis baileyi
25,VIP,VIP,N,Thermophis,Thermophis zhaoermii
152,CR+VIP,CR+VIP,N,Tomodon,Tomodon dorsatus
634,VIP,VIP,N,Tomodon,Tomodon ocellatus
635,VIP,VIP,N,Tomodon,Tomodon orestes
636,CR,CR,N,Tretanorhinus,Tretanorhinus mocquardi
637,VEN,VEN,N,Tretanorhinus,Tretanorhinus nigroluteus
638,CR,CR,N,Tretanorhinus,Tretanorhinus taeniatus
34,CR,CR,N,Tretanorhinus,Tretanorhinus variabilis
639,CR,CR,N,Trimetopon,Trimetopon barbouri
45,CR,CR,N,Trimetopon,Trimetopon gracile
640,CR,CR,N,Trimetopon,Trimetopon pliolepis
641,CON,CON,C,Trimetopon,Trimetopon simile
642,CR,CR,N,Trimetopon,Trimetopon slevini
643,VEN,VEN,N,Trimetopon,Trimetopon viquezi
146,VIP,VIP,N,Tropidodryas,Tropidodryas serra
145,VIP,VIP,N,Tropidodryas,Tropidodryas striaticeps
112,CR,CR,N,Uromacer,Uromacer catesbyi
114,CR,CR,N,Uromacer,Uromacer frenatus
113,CR,CR,N,Uromacer,Uromacer oxyrhynchus
124,VIP,VIP,N,Xenodon,Xenodon dorbignyi
127,VIP,VIP,N,Xenodon,Xenodon guentheri
126,VIP+VEN,VIP+VEN,N,Xenodon,Xenodon histricus
129,CON,CON,C,Xenodon,Xenodon matogrossensis
121,VIP,VIP,N,Xenodon,Xenodon merremi
125,VIP,VIP,N,Xenodon,Xenodon nattereri
123,VIP,VIP,N,Xenodon,Xenodon neuwiedi
130,CON,CON,C,Xenodon,Xenodon pulcher
644,VIP,VIP,N,Xenodon,Xenodon rabdocephalus
128,CON,CON,C,Xenodon,Xenodon semicinctus
120,VIP,VIP,N,Xenodon,Xenodon severus
122,CR+VIP,CR+VIP,N,Xenodon,Xenodon werneri
197,CON,CON,N,Xenopholis,Xenopholis scalaris
196,CR,CR,N,Xenopholis,Xenopholis undulatus
645,CR,CR,N,Xenopholis,Xenopholis werdingorum
