genus,species,readable
Siphlophis,compressus,Si_compressus
Siphlophis,longicaudatus,Si_longicaudatus
Siphlophis,pulcher,Si_pulcher
Sordellina,punctata,So_punctata
Tachymenis,peruviana,Ta_peruviana
Taeniophallus,nicagus,Ta_nicagus
Taeniophallus,affinis,Ec_affinis
Taeniophallus,brevirostris,Ec_brevirostris
Thamnodynastes,hypoconia,Th_hypoconia
Thamnodynastes,nattereri,Th_nattereri
Thamnodynastes,pallidus,Th_pallidus
Thamnodynastes,rutilus,Th_rutilus
Thamnodynastes,strigatus,Th_strigatus
Thermophis,zhaoermii,Th_zhaoermii
Tomodon,dorsatus,To_dorsatus
Tretanorhinus,variabilis,Tr_variabilis
Trimetopon,gracile,Tr_gracile
Tropidodryas,serra,Tr_serra
Tropidodryas,striaticeps,Tr_striaticeps
Erythrolamprus,pygmaea,Um_pygmaea
Uromacer,catesbyi,Ur_catesbyi
Uromacer,frenatus,Ur_frenatus
Uromacer,oxyrhynchus,Ur_oxyrhynchus
Xenodon,dorbignyi,Ly_dorbignyi
Xenodon,guentheri,Xe_guentheri
Xenodon,histricus,Ly_histricus
Xenodon,matogrossensis,Ly_matogrossensis
Xenodon,merremi,Wa_merremi
Xenodon,nattereri,Ly_nattereri
Xenodon,neuwiedi,Xe_neuwiedi
Xenodon,pulcher,Ly_pulcher
Xenodon,semicinctus,Ly_semicinctus
Xenodon,severus,Xe_severus
Xenodon,werneri,Xe_werneri
Xenopholis,scalaris,Xe_scalaris
Xenopholis,undulatus,Xe_undulatus
